,rank,score,i,j,sentence_a,sentence_b
0,1,0.9716562032699585,80,549,སྣང་སྲིད་འཇིག་རྟེན་དཔེ་བཞག་པ།,སྣང་སྲིད་འཇིག་རྟེན་དཔེ་བཞག་ཅེས་པ།
1,2,0.9703798294067383,127,740,དམིགས་མེད་མཁའ་ལ་གཞའ་ཚོན་བྲིས་པ་ནི།,དམིགས་མེད་མཁའ་ལ་གཞའ་ཚོན་བྲིས་ཅེས་པ།
2,3,0.9654914140701294,175,1052,སྤྲུལ་པའི་ཁུ་བྱུག་དཔེ་ནི་ནམ་མཁའ་བཞགས།,སྤྲུལ་པའི་ཁུ་བྱུག་དཔེ་ནི་ནམ་མཁའ་བཞག་ཅེས་པ།
3,4,0.9590107202529907,111,655,བོན་ཉིད་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས།,བོན་ཉིད་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས་ཅེས་པ།
4,5,0.9576876759529114,166,988,སྤྲུལ་པའི་ཁུ་བྱུག་འདུ་བྱེད་གསུང་དུ་འགྱུར།,སྤྲུལ་པའི་ཁུ་བྱུག་འདུ་བྱེད་གསུང་དུ་འགྱུར་ཅེས་པ།
5,6,0.9565813541412354,107,635,ཀུན་གཞི་རྣམ་ཤེས་ནམ་མཁའི་དཔེ།,ཀུན་གཞི་རྣམ་ཤེས་ནམ་མཁའི་དཔེ་ཅེས་པ།
6,7,0.9542073011398315,115,664,དངོས་མེད་གསུང་གི་སྙིང་པོའི་རྟེན།,དངོས་མེད་གསུང་གི་སྙིང་པོ་རྟེན་ཅེས་པ།
7,8,0.9540063738822937,109,647,ནམ་མཁའི་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས།,ནམ་མཁའི་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས་ཅེས་པ།
8,9,0.9535411596298218,94,597,མུན་དང་སྣང་ནི་གཉིས་མཐར་འབྱུང་།,མུན་དང་སྣང་ནི་གཉིས་མཐར་འབྱུང་ཅེས་པ།
9,10,0.9504645466804504,163,955,སྤྲུལ་པའི་ཁུ་བྱུག་རྣམ་ཤེས་ཐུགས་ཉིད་ནི།,སྤྲུལ་པའི་ཁུ་བྱུག་རྣམ་ཤེས་ཐུགས་ཉིད་ནི་ཞེས་པ།
10,11,0.9497292041778564,10,160,མི་གསང་གསང་བའི་གསང་མཆོག་འདི།,མི་གསང་གསང་བའི་གསང་མཆོག་འདི་ཅེས་པ།
11,12,0.946300208568573,3,67,གསུང་ལས་སྤྲུལ་པའི་ཁུ་བྱུག་ནི།,གསུང་ལས་སྤྲུལ་པའི་ཁུ་བྱུག་ནི་ཅེས་པ།
12,13,0.9443036913871765,185,1101,མི་འགག་མཚན་མ་མེད་པའི་ཐིག་ལེ་ལ།,མི་འགག་མཚན་མ་མེད་པའི་ཐིག་ལེ་ཅེས་པ།
13,14,0.9438772797584534,31,301,དཔྱང་བུ་སྲུབ་མྱེད་ཐོབ་ཙམ་ན།,དཔྱང་བུ་སྲུབས་མྱེད་ཐོབ་ཙམ་ན།
14,15,0.9433362483978271,172,1028,སྤྲུལ་པའི་ཁུ་བྱུག་ཚོར་བའི་ཡོན་ཏན་འབྱུང་།,སྤྲུལ་པའི་ཁུ་བྱུག་ཚོར་བས་ཡོན་ཏན་འབྱུང་ཅེས་པ།
15,16,0.9419228434562683,121,709,ཤིང་ལ་བྱ་ཆགས་མཁའ་ལ་བྱ་འཕུར་ལྟར།,ཤིང་ལ་བྱ་ཆགས་མཁའ་ལ་བྱ་འཕུར་ལྟར་ཅེས་བྱ་བ།
16,17,0.9419227242469788,204,1204,གསལ་བ་ཉིད་ལ་སྣང་བའི་རང་བཞིན་མེད།,གསལ་བ་ཉིད་ལ་སྣང་བའི་རང་བཞིན་མེད་ཅེས་པ།
17,18,0.9356477856636047,184,1097,སྤྲུལ་པའི་ཁུ་བྱུག་མི་དམིགས་ཅིར་མི་སྒྲོགས།,སྤྲུལ་པའི་ཁུ་བྱུག་མི་དམིགས་ཇིར་མི་སྒྲོགས་ཅེས་པ།
18,19,0.9350945949554443,210,1223,མཉམ་པ་ཉིད་ལ་མི་མཉམ་ཡེ་ནས་མེད།,མཉམ་པ་ཉིད་ལ་མི་མཉམ་ཡེ་ནས་མེད་ཅེས་པ།
19,20,0.9330240488052368,98,611,མུན་སྣང་གཉིས་ཀྱང་ཇིར་མི་དམིགས།,མུན་སྣང་གཉིས་ཀྱང་ཇིར་མི་དམིགས་ཅེས་པས།
