,rank,score,i,j,sentence_a,sentence_b
0,1,0.954766035079956,127,740,དམིགས་མེད་མཁའ་ལ་གཞའ་ཚོན་བྲིས་པ་ནི།,དམིགས་མེད་མཁའ་ལ་གཞའ་ཚོན་བྲིས་ཅེས་པ།
1,2,0.9501622319221497,80,549,སྣང་སྲིད་འཇིག་རྟེན་དཔེ་བཞག་པ།,སྣང་སྲིད་འཇིག་རྟེན་དཔེ་བཞག་ཅེས་པ།
2,3,0.9468511939048767,175,1052,སྤྲུལ་པའི་ཁུ་བྱུག་དཔེ་ནི་ནམ་མཁའ་བཞགས།,སྤྲུལ་པའི་ཁུ་བྱུག་དཔེ་ནི་ནམ་མཁའ་བཞག་ཅེས་པ།
3,4,0.9461650848388672,163,955,སྤྲུལ་པའི་ཁུ་བྱུག་རྣམ་ཤེས་ཐུགས་ཉིད་ནི།,སྤྲུལ་པའི་ཁུ་བྱུག་རྣམ་ཤེས་ཐུགས་ཉིད་ནི་ཞེས་པ།
4,5,0.9429521560668945,107,635,ཀུན་གཞི་རྣམ་ཤེས་ནམ་མཁའི་དཔེ།,ཀུན་གཞི་རྣམ་ཤེས་ནམ་མཁའི་དཔེ་ཅེས་པ།
5,6,0.9428412318229675,115,664,དངོས་མེད་གསུང་གི་སྙིང་པོའི་རྟེན།,དངོས་མེད་གསུང་གི་སྙིང་པོ་རྟེན་ཅེས་པ།
6,7,0.9421332478523254,10,160,མི་གསང་གསང་བའི་གསང་མཆོག་འདི།,མི་གསང་གསང་བའི་གསང་མཆོག་འདི་ཅེས་པ།
7,8,0.9403795599937439,109,647,ནམ་མཁའི་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས།,ནམ་མཁའི་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས་ཅེས་པ།
8,9,0.938453733921051,111,655,བོན་ཉིད་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས།,བོན་ཉིད་དབྱིངས་ནས་ཁུ་བྱུག་སྒྲོགས་ཅེས་པ།
9,10,0.9371165633201599,3,67,གསུང་ལས་སྤྲུལ་པའི་ཁུ་བྱུག་ནི།,གསུང་ལས་སྤྲུལ་པའི་ཁུ་བྱུག་ནི་ཅེས་པ།
10,11,0.935075044631958,166,988,སྤྲུལ་པའི་ཁུ་བྱུག་འདུ་བྱེད་གསུང་དུ་འགྱུར།,སྤྲུལ་པའི་ཁུ་བྱུག་འདུ་བྱེད་གསུང་དུ་འགྱུར་ཅེས་པ།
11,12,0.9312220811843872,121,709,ཤིང་ལ་བྱ་ཆགས་མཁའ་ལ་བྱ་འཕུར་ལྟར།,ཤིང་ལ་བྱ་ཆགས་མཁའ་ལ་བྱ་འཕུར་ལྟར་ཅེས་བྱ་བ།
12,13,0.929444432258606,185,1101,མི་འགག་མཚན་མ་མེད་པའི་ཐིག་ལེ་ལ།,མི་འགག་མཚན་མ་མེད་པའི་ཐིག་ལེ་ཅེས་པ།
13,14,0.9282532334327698,67,501,རྒྱུན་མེད་སེར་བུ་ངད་ལྡན་པ།,རྒྱུན་མེད་སེར་བུ་ངད་ལྡན་པ་ཅེས་པ།
14,15,0.927973747253418,204,1204,གསལ་བ་ཉིད་ལ་སྣང་བའི་རང་བཞིན་མེད།,གསལ་བ་ཉིད་ལ་སྣང་བའི་རང་བཞིན་མེད་ཅེས་པ།
15,16,0.9276053309440613,172,1028,སྤྲུལ་པའི་ཁུ་བྱུག་ཚོར་བའི་ཡོན་ཏན་འབྱུང་།,སྤྲུལ་པའི་ཁུ་བྱུག་ཚོར་བས་ཡོན་ཏན་འབྱུང་ཅེས་པ།
16,17,0.9270375370979309,94,597,མུན་དང་སྣང་ནི་གཉིས་མཐར་འབྱུང་།,མུན་དང་སྣང་ནི་གཉིས་མཐར་འབྱུང་ཅེས་པ།
17,18,0.9191199541091919,210,1223,མཉམ་པ་ཉིད་ལ་མི་མཉམ་ཡེ་ནས་མེད།,མཉམ་པ་ཉིད་ལ་མི་མཉམ་ཡེ་ནས་མེད་ཅེས་པ།
18,19,0.9117796421051025,184,1097,སྤྲུལ་པའི་ཁུ་བྱུག་མི་དམིགས་ཅིར་མི་སྒྲོགས།,སྤྲུལ་པའི་ཁུ་བྱུག་མི་དམིགས་ཇིར་མི་སྒྲོགས་ཅེས་པ།
19,20,0.9091124534606934,31,301,དཔྱང་བུ་སྲུབ་མྱེད་ཐོབ་ཙམ་ན།,དཔྱང་བུ་སྲུབས་མྱེད་ཐོབ་ཙམ་ན།
